src	trg	nij	score
metallica	megadeth	3.5567767114912225	0.32370969055771504
metallica	black sabbath	3.890019125525497	0.3480972568152624
metallica	alice in chains	5.381337705436318	0.33999753946248124
metallica	pantera	3.1438545966232323	0.2922352235874426
w.a.s.p. (band)	great white	2.917078956611093	0.303283134380545
alice in chains	pantera	4.860534681719827	0.31285956540297555
alice in chains	slayer	5.473156936954781	0.34467088587849604
alice in chains	megadeth	5.5002804861220085	0.3460451266977743
alice in chains	soundgarden	4.749886677222404	0.30695330458730397
anthrax (american band)	megadeth	2.463923508162758	0.33948092762223614
anthrax (american band)	black sabbath	3.618533032069253	0.3365868501703716
judas priest	megadeth	2.6568755649711786	0.3376505721458747
judas priest	black sabbath	3.421319720368873	0.3215505222350037
motörhead	megadeth	3.009378538922594	0.3385796332086066
motörhead	sepultura	2.960902820609676	0.3341333833935256
slayer	drowning pool	3.668051908786045	0.347800617895236
damn yankees (band)	poison (american band)	5.067802977991195	0.24876855912289197
megadeth	black sabbath	3.6585344721118087	0.3395962653628637
megadeth	sepultura	2.182103864252958	0.3354211174774334
chuck berry	little richard	3.337698966722769	0.3435649702124117
audioslave	funkadelic	8.726328385812906	0.31318766377829665
alice cooper	def leppard	5.111224694606281	0.3466620524639388
t. rex (band)	gary glitter	4.099413943891362	0.342826401641281
eddie cochran	ritchie valens	3.894382858614034	0.3116532045210909
morrissey	blur (band)	4.1511822096300754	0.33010554251686075
morrissey	franz ferdinand (band)	3.9391839162921167	0.25289830983157124
morrissey	the smiths	3.213580252801525	0.34198526828040443
morrissey	talking heads	6.428352120459764	0.3139138014662024
gene vincent	bill haley & his comets	3.879584185384794	0.24761809976690552
gene vincent	duane eddy	3.3041479856143883	0.2664252247458484
gene vincent	gary glitter	3.4646618072052204	0.27753232422453633
gene vincent	ian dury	5.123335428237591	0.21538560336224244
train (band)	hootie & the blowfish	6.826195404263302	0.232680473772097
ratt	quiet riot	2.9662684845876006	0.3387414308538673
ratt	warrant (american band)	3.051758300541081	0.304299703509326
ratt	great white	2.638822403325724	0.3367525281693947
ratt	cinderella (band)	2.740131348724845	0.2959657977718346
ratt	firehouse	5.676910801313757	0.33722698533346296
harry nilsson	badfinger	3.427240308484401	0.3414021080359775
harry nilsson	the mamas & the papas	3.936853726690958	0.3126462423386821
warrant (american band)	poison (american band)	3.2802617499336457	0.294072470679246
warrant (american band)	great white	2.534877418527355	0.2597457117337696
warrant (american band)	cinderella (band)	3.099573067814897	0.3082921784395467
warrant (american band)	firehouse	4.191576172305272	0.26039781672210216
cinderella (band)	poison (american band)	2.8260095972037966	0.2587800081092523
cinderella (band)	tesla (band)	3.919472442548962	0.3145603310154621
lenny kravitz	fats domino	3.1709052811184613	0.33839987237630664
tesla (band)	poison (american band)	4.075467773876995	0.324954965759338
tesla (band)	bad company	4.203318661756089	0.3333662528054897
tesla (band)	great white	3.8873549552127	0.3124020764338833
tesla (band)	europe (band)	3.859826336355253	0.3105472320004289
the j. geils band	extreme (band)	4.748665125014533	0.33951500541687396
boston (band)	extreme (band)	4.123889372032354	0.30177631522352144
extreme (band)	living colour	3.5188677554395555	0.2633925602188789
joan jett	billy idol	6.0635353434438	0.273542667419165
panic! at the disco	fun (band)	8.03577490705445	0.32247755419070845
panic! at the disco	twenty one pilots	3.768026049472828	0.2764917353828491
echo & the bunnymen	interpol (band)	5.2225585265894665	0.319017045045063
the smiths	franz ferdinand (band)	4.951303805726589	0.30741939513116967
air supply	little river band	7.4316427793529884	0.30155401258937986
cold chisel	the marshall tucker band	7.768376176461868	0.3475194605189882
matchbox twenty	goo goo dolls	6.520253448424417	0.31950216881681015
barenaked ladies	hootie & the blowfish	6.939178257857754	0.23615209570732998
dave matthews band	blue october	6.6994007640867625	0.29032240955012756
dave matthews band	sixto rodriguez	10.485841611055887	0.19304840500646425
the animals	the dave clark five	4.088089119725956	0.26729849621772495
the animals	the zombies	5.255249746752848	0.3141099580512593
the animals	grand funk railroad	4.174120538468924	0.3038646359988668
the lovin' spoonful	duane eddy	3.0434335768955343	0.28954287566338355
the lovin' spoonful	the mamas & the papas	3.5512466018150506	0.2865643716944092
the lovin' spoonful	small faces	3.2245854849452478	0.34618529198243597
the lovin' spoonful	jefferson airplane	3.888875597864304	0.32779734591823817
the beach boys	roy orbison	4.771811414101022	0.3291420816567655
elvis presley	roy orbison	5.036941614135869	0.3159869407403737
elvis presley	shakin' stevens	32.533810771608174	0.32211693833275434
manfred mann	manfred mann (musician)	8.185423060410496	0.21655744183662917
manfred mann	manfred mann chapter three	4.964793038321943	0.1950008843710178
manfred mann	john mayall	4.2710317160644	0.2959746411946145
manfred mann	the dave clark five	5.502247813548838	0.3437123727486726
the flaming lips	sonic youth	4.438521343676791	0.3111897165582894
donovan	the allman brothers band	4.067071360355891	0.31749421803989286
donovan	the mamas & the papas	3.663048635011675	0.2942183430007489
marilyn manson	rammstein	3.6372852203372936	0.32937365200875723
jackson browne	linda ronstadt	3.907736048530533	0.3456192149834637
theory of a deadman	black stone cherry	5.224734717935259	0.28364715109299166
bob dylan	roy orbison	6.186081170550903	0.33772268422931717
edgar winter	meat loaf	7.515311141970148	0.3483045659465971
edgar winter	ambrosia (band)	5.4274815048829295	0.2637079216616023
edgar winter	billy squier	6.360765450083544	0.3025882735962555
poison (american band)	great white	2.806294207821069	0.2572119946174186
dallas green (musician)	the tragically hip	16.721604981846987	0.16485805214686178
days of the new	finger eleven	4.7267265710480455	0.2817992566299845
eddie money	kansas (band)	6.147656042056874	0.3225044070665898
eddie money	england dan & john ford coley	5.3282887545775885	0.09975624715903808
lamb of god (band)	five finger death punch	3.155278196283367	0.3360484572823018
lamb of god (band)	killswitch engage	2.4895841181297973	0.2754505890979222
lamb of god (band)	lacuna coil	2.8799749322373374	0.31158533832427404
seether	flyleaf (band)	3.812675233004017	0.33932139999254396
seether	three days grace	3.0474987096764883	0.33583988159532185
seether	starset	3.659433491075072	0.2539128939953672
funkadelic	parliament (band)	18.172206470102427	0.32385910256837847
funkadelic	parliament-funkadelic	3.9907303117543975	0.13668083671306308
funkadelic	sly and the family stone	8.183848213790437	0.29646692307027744
black stone cherry	halestorm	6.233762152795233	0.3292157013838134
fuel (band)	saliva (band)	4.588221461809601	0.32387342064319513
fuel (band)	saving abel	4.381176656302462	0.2779195720932979
